100 2 0 0 1 0 1 0 3 2 0 1 0 0 1 1 1 4 3 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 3 2 1 0 0 0 2 3 2 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 2 0 0 2 0 0 0 0 1 0 1 0 0
105 6 1 0 7 0 3 3 2 8 3 2 4 4 6 6 5 7 1 2 1 5 3 1 1 5 6 1 4 5 5 1 9 4 3 0 1 0 1 0 1 1 2 2 0 0 2 0 1 0 0 0 0 2 2 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 1 1 2 0 0 1 1 1 1 1 0 0 1 0 0 1 2 1 0 1 0 1 0 1 0 0 0 0 0
110 17 5 0 5 2 8 6 4 17 4 4 13 7 15 5 4 10 2 3 2 10 5 5 4 6 8 8 7 15 11 2 11 12 8 6 2 1 0 8 6 1 6 0 5 4 0 1 5 5 0 3 2 1 1 0 5 1 2 3 1 0 0 3 3 1 0 0 1 3 5 6 3 0 5 1 1 1 2 4 1 2 1 4 0 1 5 0 3 0 0 3 4 3 2 0 2 2 5
115 42 14 6 22 6 33 15 26 56 17 22 23 20 50 32 24 53 15 26 14 16 16 21 13 25 27 13 21 26 40 8 65 26 26 6 3 2 7 8 8 6 11 2 4 14 7 2 2 4 3 6 6 6 11 1 7 5 4 8 12 1 2 9 7 2 0 4 0 7 5 10 12 4 9 3 13 0 6 7 10 7 3 7 3 9 14 4 10 8 2 3 4 11 2 10 4 3 9
120 186 70 14 115 42 158 73 116 193 108 118 122 154 187 168 133 194 62 125 76 122 63 68 103 89 110 84 123 136 143 72 215 134 133 9 12 15 31 12 27 18 36 6 18 26 13 19 11 23 4 18 17 10 18 5 27 9 12 9 38 12 4 22 19 9 12 11 10 12 18 26 43 15 24 20 20 13 15 20 17 17 19 15 8 16 33 8 20 8 4 7 15 37 5 6 15 14 19
125 447 191 92 290 136 328 239 280 558 276 278 271 343 510 381 237 449 228 319 189 291 201 191 271 241 276 235 323 363 407 181 580 320 273 76 54 101 151 108 158 73 138 24 106 147 85 62 92 60 42 109 116 75 88 23 149 30 63 49 139 35 27 156 133 72 27 93 44 39 130 100 171 93 101 110 112 47 109 106 155 92 111 107 39 107 181 46 138 67 29 58 99 159 43 64 65 66 102
130 3405 1084 344 1969 730 2577 1465 1966 4277 1880 1746 1833 1976 3450 2278 1763 3524 1207 2468 1177 2099 1056 963 1590 1214 1936 1318 2225 2678 2985 1007 4266 2433 1752 235 198 263 360 278 409 185 366 158 279 388 273 233 233 193 164 235 284 232 275 128 380 143 195 181 315 171 125 365 323 195 124 319 219 273 414 369 552 347 354 392 514 249 397 253 584 286 394 285 224 340 497 296 438 267 201 250 293 537 249 321 301 269 337
135 11528 5488 2778 7389 5157 8006 7318 7745 12321 7629 7534 7442 9038 9297 9005 7702 9932 7032 7870 6202 7638 6474 6117 8074 6533 7141 6891 8706 9764 10315 6502 11688 8710 7478 857 671 1257 1614 1060 1795 607 1735 441 974 1771 890 715 795 616 463 1094 1352 710 985 307 1711 384 734 492 1657 502 384 1604 1327 735 380 2138 1214 1013 2721 2309 3750 1878 2084 2199 2469 1139 2049 1813 3348 2067 2555 2017 907 1971 3291 1271 2337 1563 903 1236 2168 3182 911 1481 1599 1305 1885
140 49204 24948 17383 26144 20813 28721 26749 25491 47597 28248 25990 25059 29051 36952 31206 26740 37201 24271 34466 23291 29364 23774 22472 29446 22118 29552 23588 34785 33436 39116 23590 44719 37365 26878 4958 5451 6112 7117 5580 9001 4567 7608 4001 6189 7965 7247 5368 4973 5214 4475 6094 6557 5309 6980 3024 8009 3619 5873 4388 7385 4746 3676 7710 7370 5844 3515 9141 7018 8328 10045 9513 11252 8619 9330 8855 15043 7379 9585 8096 16264 8493 10292 8168 6466 8930 11270 9329 10076 8219 6420 7298 9068 10576 6665 9887 8436 7645 8741
145 17550398 17555763 17569493 17564043 17568774 17548990 17567447 17545205 17555714 17550225 17560370 17546110 17558974 17546262 17559853 17562592 17556430 17550404 17564263 17563589 17562503 17562301 17550393 17561451 17542667 17557622 17545776 17559267 17537560 17552693 17545617 17549292 17560147 17556651 1076666 1088957 1093605 1136284 1077733 1138399 1049889 1135918 1042609 1058574 1139294 1095573 1053834 1029871 1085841 1062938 1110550 1073653 1049182 1077517 993995 1073946 1003439 1065833 1018907 1105115 1040161 1032412 1089221 1088552 1069562 1010982 8586362 8532054 8525222 8532640 8521421 8520008 8516460 8520382 8499499 8504233 8510409 8478447 8522965 8542055 8536742 8519573 8510536 8480201 8511528 8508505 8486086 8495623 8508749 8490468 8455605 8541238 8472293 8473677 8478446 8496834 8480074 8493456
